export_time,error_code,parameter_value
2025-10-06,E05,71.22
2025-10-06,E03,54.76
2025-10-06,E03,21.69
2025-10-06,E02,14.35
2025-10-06,E04,27.05
2025-10-06,E03,43.87
2025-10-06,E02,23.4
2025-10-06,E05,57.9
2025-10-06,E05,50.62
2025-10-06,E01,15.46
2025-10-06,E05,30.98
2025-10-06,E03,33.55
2025-10-06,E05,79.09
2025-10-06,E02,15.53
2025-10-06,E04,30.92
2025-10-06,E02,11.01
2025-10-06,E04,34.41
2025-10-06,E05,42.38
2025-10-06,E03,45.01
2025-10-06,E02,19.17
2025-10-06,E04,33.94
2025-10-06,E05,77.37
2025-10-06,E03,62.42
2025-10-06,E02,22.88
2025-10-06,E02,7.26
2025-10-06,E03,37.66
2025-10-06,E02,20.99
2025-10-06,E05,55.71
2025-10-06,E05,49.61
2025-10-06,E01,32.55
2025-10-06,E04,29.75
2025-10-06,E04,43.54
