export_time,error_code,parameter_value
2025-10-03,E02,20.18
2025-10-03,E04,47.11
2025-10-03,E04,38.28
2025-10-03,E01,38.05
2025-10-03,E03,22.97
2025-10-03,E03,63.11
2025-10-03,E01,25.43
2025-10-03,E01,30.55
2025-10-03,E05,80.78
2025-10-03,E05,81.79
2025-10-03,E05,64.02
2025-10-03,E04,18.51
2025-10-03,E01,13.41
2025-10-03,E03,51.21
2025-10-03,E03,22.96
2025-10-03,E03,68.48
2025-10-03,E03,59.94
2025-10-03,E03,56.47
2025-10-03,E05,51.74
2025-10-03,E04,49.66
2025-10-03,E05,50.55
2025-10-03,E04,18.49
2025-10-03,E02,23.2
2025-10-03,E05,62.02
2025-10-03,E04,31.9
2025-10-03,E01,23.16
2025-10-03,E02,14.72
2025-10-03,E01,16.1
2025-10-03,E02,13.38
2025-10-03,E01,13.65
2025-10-03,E05,64.9
2025-10-03,E02,15.69
2025-10-03,E05,50.89
2025-10-03,E01,19.67
2025-10-03,E01,25.97
2025-10-03,E01,12.61
2025-10-03,E03,44.33
2025-10-03,E02,24.55
2025-10-03,E03,56.49
2025-10-03,E03,43.07
2025-10-03,E05,63.83
2025-10-03,E01,21.51
