#;UUID;Signal;Event time;Value type;Text;BigInt;Timestamp;Double
34.2;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A268;02.10.2025 11:28;11;1;1;;
34.3;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A269;02.10.2025 11:28;11;0;0;;
34.4;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A257;02.10.2025 11:28;11;0;0;;
34.5;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A258;02.10.2025 11:28;11;0;0;;
34.6;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A272;02.10.2025 11:28;11;0;0;;
34.7;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A273;02.10.2025 11:28;17;527.41;;;527.41
34.8;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A274;02.10.2025 11:28;17;-450.19;;;-450.19
34.9;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A275;02.10.2025 11:28;17;379.14;;;379.14
34.10;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A275;02.10.2025 11:28;17;379.14;;;379.14
35.1;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A270;02.10.2025 11:27;11;0;0;;
35.2;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A268;02.10.2025 11:27;11;1;1;;
35.3;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A269;02.10.2025 11:27;11;0;0;;
35.4;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A257;02.10.2025 11:27;11;0;0;;
35.5;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A258;02.10.2025 11:27;11;0;0;;
35.6;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A272;02.10.2025 11:27;11;0;0;;
35.7;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A273;02.10.2025 11:27;17;527.41;;;527.41
35.8;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A274;02.10.2025 11:27;17;-450.19;;;-450.19
35.9;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A275;02.10.2025 11:27;17;379.14;;;379.14
35.10;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A275;02.10.2025 11:27;17;379.14;;;379.14
36.1;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A270;02.10.2025 11:27;11;0;0;;
36.2;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A268;02.10.2025 11:27;11;1;1;;
36.3;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A269;02.10.2025 11:27;11;0;0;;
36.4;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A257;02.10.2025 11:27;11;0;0;;
36.5;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A258;02.10.2025 11:27;11;0;0;;
36.6;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A272;02.10.2025 11:27;11;0;0;;
36.7;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A273;02.10.2025 11:27;17;527.41;;;527.41
36.8;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A274;02.10.2025 11:27;17;-450.19;;;-450.19
36.9;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A275;02.10.2025 11:27;17;379.14;;;379.14
36.10;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A275;02.10.2025 11:27;17;379.14;;;379.14
37.1;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A270;02.10.2025 11:27;11;0;0;;
37.2;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A268;02.10.2025 11:27;11;1;1;;
37.3;BA24F253-FC3C-4B89-A069-2768EFC1FA1B;A269;02.10.2025 11:27;11;0;0;;
