export_time,error_code,parameter_value
2025-10-06,E05,85.27
2025-10-06,E05,70.78
2025-10-06,E03,67.59
2025-10-06,E04,27.29
2025-10-06,E05,76.98
2025-10-06,E04,32.51
2025-10-06,E05,61.99
2025-10-06,E05,81.22
2025-10-06,E05,42.31
2025-10-06,E04,23.73
2025-10-06,E05,36.52
2025-10-06,E05,63.11
2025-10-06,E01,33.95
2025-10-06,E03,20.98
2025-10-06,E03,63.93
2025-10-06,E01,23.63
2025-10-06,E04,35.7
2025-10-06,E05,82.74
2025-10-06,E04,25.02
2025-10-06,E02,23.72
2025-10-06,E02,5.38
2025-10-06,E02,23.72
2025-10-06,E01,25.24
2025-10-06,E04,16.17
2025-10-06,E03,52.96
2025-10-06,E05,69.75
2025-10-06,E03,67.5
2025-10-06,E05,35.45
2025-10-06,E03,22.05
2025-10-06,E02,14.3
2025-10-06,E01,35.76
2025-10-06,E05,89.68
2025-10-06,E03,53.49
2025-10-06,E05,44.92
2025-10-06,E05,44.31
2025-10-06,E04,16.26
2025-10-06,E03,33.16
