export_time,error_code,parameter_value
2025-10-07,E03,39.87
2025-10-07,E02,6.11
2025-10-07,E04,24.52
2025-10-07,E01,10.85
2025-10-07,E01,11.78
2025-10-07,E01,14.61
2025-10-07,E03,58.82
2025-10-07,E03,22.9
2025-10-07,E03,23.67
2025-10-07,E01,14.11
2025-10-07,E03,34.47
2025-10-07,E03,37.81
2025-10-07,E02,9.16
2025-10-07,E03,46.29
2025-10-07,E01,34.83
2025-10-07,E03,26.31
2025-10-07,E03,30.74
2025-10-07,E04,23.69
2025-10-07,E02,17.33
2025-10-07,E01,32.62
2025-10-07,E05,86.47
2025-10-07,E04,47.45
2025-10-07,E01,18.11
2025-10-07,E04,49.16
2025-10-07,E01,21.78
2025-10-07,E05,46.98
2025-10-07,E01,28.67
2025-10-07,E02,10.46
2025-10-07,E02,18.0
2025-10-07,E04,28.55
2025-10-07,E03,46.06
2025-10-07,E02,9.89
2025-10-07,E04,21.05
2025-10-07,E04,22.71
2025-10-07,E02,9.88
2025-10-07,E03,29.89
2025-10-07,E02,17.51
2025-10-07,E02,18.01
2025-10-07,E04,28.7
2025-10-07,E04,44.42
2025-10-07,E03,40.68
2025-10-07,E03,43.28
2025-10-07,E05,82.92
2025-10-07,E04,35.15
2025-10-07,E01,10.11
2025-10-07,E05,34.38
2025-10-07,E03,25.51
2025-10-07,E02,11.84
2025-10-07,E03,69.88
2025-10-07,E01,21.81
